"","gene","fitness","variance","d6toinput","normd7toinputA","normd6toinputA","norminput","normd6toinputB","normd6toinputC","normd6toinputD","day4abs","day5absmax","day6abs","lower","upper","input","file","experiment"
"45","PBANKA_062240",0.976380042508037,0.00339790944144534,0.816101596533869,0.174891271977175,0.160650499134593,6.83943661971831,0.309481493572852,0.252343725253291,0.406983829609753,0.0114226499879422,0.0212556861314298,0.00923218037735044,0.909070712382659,1.04368937263342,0.0173541683418657,"./countfiles//inv1.csv","inv1"
"46","PBANKA_093210",0.964311990664904,0.00268085675132466,6.47293879769633,1.3517039034237,1.27420513957349,8.36760563380282,2.45466345786469,2.00147321912445,3.22800669904911,0.156486007014997,0.165115495457409,0.151697437046044,0.904525071791016,1.02409890953879,0.0212316956587776,"./countfiles//inv1.csv","inv1"
"47","PBANKA_136440",0.876828013468821,0.00159142526810534,3.28286643069196,0.599625014301218,0.646235876663887,8.08098591549296,1.24492637985982,1.01508286241345,1.63714120611314,0.0868064094819456,0.0809975813712625,0.0650625539948165,0.830763923795043,0.922892103142598,0.0205044359269881,"./countfiles//inv1.csv","inv1"
"48","PBANKA_080960",0.165014223876629,0.0198660496324718,0.00183062982769063,0.000266305687496287,0.000360361500085571,9.57957746478873,0.000694210200860939,0.000566042208765699,0.000912921554173749,0.000971784812937393,0.000240913873830271,2.77306711888992e-05,0.00226267649034689,0.32776577126291,0.0243069143280888,"./countfiles//inv1.csv","inv1"
"49","PBANKA_091030",0.318891623375332,0.0251518150477568,NA,0.000610809386216789,NA,9.30633802816901,NA,NA,NA,0.00156392887585747,0.000410204034649684,0.000322102411501829,0.135763926406771,0.502019320343892,0.0236136052963092,"./countfiles//inv1.csv","inv1"
"50","PBANKA_051490",1.0781826149899,0.0069541178624326,2.63699643914817,0.631163849312651,0.519095656673815,0.596478873239437,1,0.815375815658874,1.31505061873417,0.0021871127485274,0.00634694622759123,0.00323382288633625,0.98189057404201,1.17447465593779,0.00151348646885917,"./countfiles//inv1.csv","inv1"
"51","PBANKA_120800",1.0265370734681,0.00392473635744935,0.973093284837873,0.220501228532751,0.19155448608075,8.13802816901408,0.369015775065745,0.300886538585224,0.485274423322877,0.02098768674624,0.0292412802843507,0.0185219552256317,0.954197721729694,1.0988764252065,0.0206491731217669,"./countfiles//inv1.csv","inv1"
"52","PBANKA_030600-ko",0.795510822461142,0.0728513275969067,NA,0.017101691065786,NA,1.61901408450704,NA,NA,NA,NA,NA,4.69288281658294e-05,0.483845772347174,1.10717587257511,0.00410803470118917,"./countfiles//inv1.csv","inv1"
"53","PBANKA_031140",0.182098303931536,0.0101496408168161,0.0156037215063106,0.0030584069242301,0.00307160978362568,6.71971830985915,0.00591723267982532,0.00482476842275591,0.00778146049679832,0.00078315827676527,0.00224708904738549,1.7065028423938e-05,0.0657675065371169,0.298429101325956,0.0170503989207251,"./countfiles//inv1.csv","inv1"
"54","PBANKA_040180",0.115388212190528,0.00701127228228818,0.0057070383215595,0.00158050855416526,0.00176167220119055,5.14525139664804,0.00509158535570399,0.00145413488241348,0.00555035739729814,0.00620340600627381,0.000391521216534724,4.67322475874477e-05,0.0187012790348482,0.212075145346208,0.0182278781641499,"./countfiles//inv2.csv","inv2"
